,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,1483250400,Mostly Cloudy,partly-cloudy-night,0,0,64.58,64.58,54.95,0.71,1012.71,2.66,4.21,261.0,0.6,0,6.001
1,1483254000,Mostly Cloudy,partly-cloudy-night,0,0,67.11,67.11,54.5,0.64,,3.22,6.43,260.0,0.75,0,6.001
2,1483257600,Mostly Cloudy,partly-cloudy-night,0,0,67.94,67.94,54.38,0.62,,4.07,6.93,277.0,0.75,0,6.001
3,1483261200,Overcast,cloudy,0,0,68.68,68.68,54.46,0.6,1010.3,3.33,7.37,269.0,1.0,0,9.997
4,1483264800,Overcast,cloudy,0,0,68.64,68.64,54.37,0.6,,2.74,6.42,178.0,1.0,0,9.997
5,1483268400,Overcast,cloudy,0,0,67.78,67.78,54.24,0.62,,2.58,7.8,239.0,1.0,0,6.001
6,1483272000,Overcast,cloudy,0,0,65.06,65.06,54.33,0.68,1012.51,2.06,4.77,268.0,1.0,0,3.998
7,1483275600,Mostly Cloudy,partly-cloudy-night,0,0,63.32,63.32,53.92,0.71,,1.66,2.43,194.0,0.87,0,8.081
8,1483279200,Mostly Cloudy,partly-cloudy-day,0,0,62.3,62.3,53.89,0.74,,1.27,4.9,157.0,0.87,0,8.081
9,1483282800,Overcast,cloudy,0,0,63.34,63.34,54.94,0.74,1015.19,0.66,2.98,270.0,1.0,1,9.123
10,1483286400,Mostly Cloudy,partly-cloudy-day,0,0,67.11,67.11,55.67,0.67,,1.05,2.15,169.0,0.87,2,10.0
11,1483290000,Overcast,cloudy,0,0,72.02,72.02,55.49,0.56,,1.6,2.7,97.0,0.88,3,10.0
12,1483293600,Mostly Cloudy,partly-cloudy-day,0,0,74.47,74.47,56.18,0.53,1013.2,2.94,5.52,70.0,0.87,3,10.0
13,1483297200,Mostly Cloudy,partly-cloudy-day,0,0,76.74,76.74,55.92,0.49,,4.11,7.56,97.0,0.59,4,10.0
14,1483300800,Partly Cloudy,partly-cloudy-day,0,0,78.26,78.26,56.29,0.47,,4.66,8.3,92.0,0.46,3,10.0
15,1483304400,Partly Cloudy,partly-cloudy-day,0,0,79.6,79.6,55.67,0.44,1008.4,4.49,9.11,117.0,0.36,2,10.0
16,1483308000,Partly Cloudy,partly-cloudy-day,0,0,80.1,80.1,55.42,0.43,,3.29,9.42,139.0,0.21,1,10.0
17,1483311600,Partly Cloudy,partly-cloudy-day,0,0,78.76,78.76,55.55,0.45,,3.72,6.98,124.0,0.31,0,10.0
18,1483315200,Mostly Cloudy,partly-cloudy-night,0,0,74.69,74.69,57.27,0.55,1008.19,1.56,5.96,167.0,0.75,0,10.0
19,1483318800,Mostly Cloudy,partly-cloudy-night,0,0,72.38,72.38,57.14,0.59,,1.46,3.88,131.0,0.75,0,10.0
20,1483322400,Mostly Cloudy,partly-cloudy-night,0,0,70.41,70.41,57.65,0.64,,1.93,2.74,127.0,0.75,0,10.0
21,1483326000,Mostly Cloudy,partly-cloudy-night,0,0,69.19,69.19,58.26,0.68,1008.6,1.23,2.59,114.0,0.75,0,10.0
22,1483329600,Mostly Cloudy,partly-cloudy-night,0,0,68.26,68.26,58.22,0.7,,0.32,2.7,,0.75,0,10.0
23,1483333200,Mostly Cloudy,partly-cloudy-night,0,0,65.64,65.64,57.04,0.74,,1.78,1.8,100.0,0.75,0,10.0
0,1483336800,Mostly Cloudy,partly-cloudy-night,0,0,64.24,64.24,57.31,0.78,1009.7,1.87,3.78,203.0,0.6,0,10.0
1,1483340400,Clear,clear-night,0,0,63.96,63.96,57.63,0.8,,0.18,2.35,,0.0,0,10.0
2,1483344000,Clear,clear-night,0,0,62.19,62.19,55.94,0.8,,0.92,1.99,130.0,0.0,0,10.0
3,1483347600,Clear,clear-night,0,0,62.03,62.03,53.41,0.73,1009.61,2.0,4.75,277.0,0.0,0,10.0
4,1483351200,Clear,clear-night,0,0,67.31,67.31,48.89,0.52,,4.77,8.99,248.0,0.0,0,10.0
5,1483354800,Clear,clear-night,0,0,68.13,68.13,48.51,0.49,,4.47,8.03,227.0,0.0,0,10.0
6,1483358400,Clear,clear-night,0,0,67.13,67.13,46.97,0.48,1010.1,2.75,4.05,295.0,0.0,0,9.997
7,1483362000,Clear,clear-night,0,0,71.14,71.14,48.07,0.44,,2.61,7.28,190.0,0.0,0,10.0
8,1483365600,Clear,clear-day,0,0,69.18,69.18,46.86,0.45,,1.35,5.86,158.0,0.0,0,10.0
9,1483369200,Clear,clear-day,0,0,68.59,68.59,48.15,0.48,1013.48,2.19,4.25,288.0,0.0,1,10.0
10,1483372800,Clear,clear-day,0,0,76.16,76.16,45.47,0.34,,0.92,3.73,0.0,0.0,2,10.0
11,1483376400,Clear,clear-day,0,0,80.6,80.6,39.0,0.23,,1.18,3.91,54.0,0.0,3,10.0
12,1483380000,Clear,clear-day,0,0,83.26,83.26,39.66,0.21,1013.78,2.89,3.98,285.0,0.0,5,10.0
13,1483383600,Clear,clear-day,0,0,85.28,85.28,30.07,0.14,,5.03,8.76,319.0,0.0,5,10.0
14,1483387200,Clear,clear-day,0,0,85.97,85.97,31.25,0.14,,3.43,7.94,35.0,0.0,4,10.0
15,1483390800,Clear,clear-day,0,0,86.68,86.68,37.57,0.18,1012.8,1.78,6.2,63.0,0.0,3,10.0
16,1483394400,Clear,clear-day,0,0,86.2,86.2,37.94,0.18,,1.93,6.08,35.0,0.0,1,10.0
17,1483398000,Clear,clear-day,0,0,82.93,82.93,43.64,0.25,,3.17,3.56,120.0,0.0,0,10.0
18,1483401600,Clear,clear-night,0,0,77.16,77.16,42.25,0.29,1013.09,2.38,3.09,138.0,0.0,0,10.0
19,1483405200,Clear,clear-night,0,0,72.34,72.34,47.44,0.41,,1.56,2.38,157.0,0.0,0,10.0
20,1483408800,Clear,clear-night,0,0,71.42,71.42,49.69,0.46,,2.28,4.8,144.0,0.0,0,10.0
21,1483412400,Clear,clear-night,0,0,69.52,69.52,49.91,0.5,1015.52,1.65,4.36,107.0,0.0,0,10.0
22,1483416000,Clear,clear-night,0,0,68.69,68.69,50.41,0.52,,0.97,3.54,293.0,0.0,0,10.0
23,1483419600,Clear,clear-night,0,0,66.46,66.46,49.89,0.55,,1.18,2.33,160.0,0.0,0,10.0
0,1483423200,Clear,clear-night,0,0,64.08,64.08,48.25,0.56,1016.88,0.85,4.62,125,0.0,0,10
1,1483426800,Clear,clear-night,0,0,63.29,63.29,48.81,0.59,,0.64,3.69,224,0.0,0,10
2,1483430400,Clear,clear-night,0,0,60.58,60.58,48.65,0.65,,0.5,1.0,213,0.0,0,10
3,1483434000,Clear,clear-night,0,0,59.76,59.76,49.7,0.69,1017.02,0.85,3.47,152,0.0,0,10
4,1483437600,Clear,clear-night,0,0,58.42,58.42,47.13,0.66,,0.51,2.18,251,0.0,0,10
5,1483441200,Clear,clear-night,0,0,57.45,57.45,46.91,0.68,,0.59,2.62,5,0.0,0,10
6,1483444800,Clear,clear-night,0,0,57.46,57.46,49.2,0.74,1016.34,1.35,1.41,199,0.0,0,10
7,1483448400,Clear,clear-night,0,0,56.12,56.12,45.87,0.68,,1.7,1.7,325,0.09,0,10
8,1483452000,Mostly Cloudy,partly-cloudy-day,0,0,56.03,56.03,45.06,0.67,,1.27,1.31,287,0.59,0,10
9,1483455600,Partly Cloudy,partly-cloudy-day,0,0,61.01,61.01,46.31,0.58,1017.35,0.95,1.29,265,0.38,1,10
10,1483459200,Mostly Cloudy,partly-cloudy-day,0,0,67.43,67.43,47.02,0.48,,2.63,3.01,314,0.59,2,10
11,1483462800,Mostly Cloudy,partly-cloudy-day,0,0,71.83,71.83,49.28,0.45,,1.13,3.3,315,0.59,3,10
12,1483466400,Partly Cloudy,partly-cloudy-day,0,0,75.48,75.48,49.52,0.4,1016.98,1.91,6.35,11,0.44,4,10
13,1483470000,Partly Cloudy,partly-cloudy-day,0,0,78.52,78.52,47.49,0.34,,2.81,7.05,56,0.44,4,10
14,1483473600,Partly Cloudy,partly-cloudy-day,0,0,80.84,80.84,45.77,0.29,,3.99,7.25,84,0.44,4,10
15,1483477200,Partly Cloudy,partly-cloudy-day,0,0,81.43,81.43,49.58,0.33,1014.01,3.58,4.56,95,0.36,3,10
16,1483480800,Partly Cloudy,partly-cloudy-day,0,0,81.13,81.13,48.56,0.32,,2.5,5.47,90,0.36,1,10
17,1483484400,Partly Cloudy,partly-cloudy-day,0,0,79.6,79.6,47.54,0.32,,3.12,4.72,130,0.36,0,10
18,1483488000,Partly Cloudy,partly-cloudy-night,0,0,76.19,76.19,51.83,0.43,1013.55,1.85,6.46,132,0.36,0,10
19,1483491600,Partly Cloudy,partly-cloudy-night,0,0,72.03,72.03,50.99,0.48,,1.09,2.03,138,0.36,0,10
20,1483495200,Partly Cloudy,partly-cloudy-night,0,0,70.81,70.81,51.91,0.51,,1.18,1.48,147,0.36,0,10
21,1483498800,Partly Cloudy,partly-cloudy-night,0,0,68.75,68.75,51.52,0.54,1016.19,1.41,2.69,196,0.36,0,10
22,1483502400,Clear,clear-night,0,0,65.79,65.79,50.38,0.58,,2.67,3.52,96,0.0,0,10
23,1483506000,Clear,clear-night,0,0,65.86,65.86,52.64,0.62,,1.53,1.8,75,0.0,0,10
0,1483509600,Clear,clear-night,0,0,64.16,64.16,52.77,0.66,1017.31,0.98,4.4,17,0.0,0,10.0
1,1483513200,Mostly Cloudy,partly-cloudy-night,0,0,62.8,62.8,52.8,0.7,,1.52,2.24,354,0.75,0,9.997
2,1483516800,Overcast,cloudy,0,0,61.65,61.65,53.7,0.75,,1.07,1.19,24,1.0,0,5.0
3,1483520400,Overcast,cloudy,0,0,62.64,62.64,55.53,0.78,1017.13,0.48,0.6,215,1.0,0,6.001
4,1483524000,Overcast,cloudy,0,0,61.17,61.17,54.0,0.77,,0.28,1.07,248,1.0,0,6.001
5,1483527600,Overcast,cloudy,0,0,60.53,60.53,54.48,0.8,,0.23,1.05,245,1.0,0,6.001
6,1483531200,Mostly Cloudy,partly-cloudy-night,0,0,59.67,59.67,54.93,0.84,1017.08,0.51,0.94,199,0.61,0,5.0
7,1483534800,Mostly Cloudy,partly-cloudy-night,0,0,58.67,58.67,53.86,0.84,,0.58,1.05,9,0.87,0,3.998
8,1483538400,Overcast,cloudy,0,0,58.74,58.74,53.74,0.83,,1.15,1.15,335,1.0,0,6.643
9,1483542000,Overcast,cloudy,0,0,60.79,60.79,54.29,0.79,1019.13,1.18,1.18,19,1.0,1,5.685
10,1483545600,Overcast,cloudy,0,0,61.19,61.19,55.41,0.81,,1.97,4.25,359,1.0,2,3.083
11,1483549200,Overcast,cloudy,0,0,61.47,61.47,56.93,0.85,,2.96,6.5,27,1.0,2,3.083
12,1483552800,Overcast,cloudy,0,0,59.29,59.29,55.96,0.89,1018.47,3.73,8.4,51,1.0,3,2.562
13,1483556400,Foggy,fog,0,0,59.9,59.9,56.6,0.89,,2.71,5.7,51,1.0,3,1.923
14,1483560000,Foggy,fog,0,0,60.04,60.04,57.02,0.9,,1.83,4.15,89,1.0,3,1.401
15,1483563600,Foggy,fog,0,0,58.95,58.95,56.92,0.93,1015.21,2.2,4.15,84,1.0,2,0.497
16,1483567200,Foggy,fog,0,0,58.71,58.71,57.09,0.94,,3.55,7.64,107,1.0,1,0.378
17,1483570800,Foggy,fog,0,0,58.01,58.01,56.53,0.95,,6.45,10.95,115,1.0,0,0.497
18,1483574400,Foggy,fog,0,0,56.18,56.18,54.96,0.96,1013.41,4.07,8.29,82,1.0,0,1.7
19,1483578000,Foggy,fog,0,0,55.16,55.16,54.31,0.97,,3.94,6.95,107,1.0,0,1.961
20,1483581600,Foggy,fog,0,0,54.31,54.31,53.27,0.96,,1.77,2.37,94,1.0,0,0.76
21,1483585200,Foggy,fog,0,0,53.6,53.6,53.49,1.0,1015.93,1.56,2.13,94,1.0,0,0.76
22,1483588800,Foggy,fog,0,0,53.53,53.53,52.73,0.97,,2.13,2.13,82,1.0,0,0.761
23,1483592400,Foggy,fog,0,0,53.4,53.4,52.73,0.98,,2.12,2.12,75,1.0,0,0.497
0,1483596000,Foggy,fog,0.0,0.0,53.25,53.25,53.25,1.0,1016.52,1.8,1.89,94.0,1.0,0,0.63,
1,1483599600,Possible Drizzle,rain,0.0039,0.39,53.42,53.42,53.22,0.99,,0.14,0.87,50.0,1.0,0,0.497,rain
2,1483603200,Foggy,fog,0.0,0.0,53.64,53.64,53.23,0.98,,0.19,0.75,30.0,1.0,0,2.0,
3,1483606800,Foggy,fog,0.0,0.0,53.78,53.78,53.25,0.98,1014.0,0.38,0.73,359.0,1.0,0,0.497,
4,1483610400,Foggy,fog,0.0,0.0,54.45,54.45,53.67,0.97,,0.15,0.8,263.0,1.0,0,0.497,
5,1483614000,Foggy,fog,0.0,0.0,54.53,54.53,53.51,0.96,,0.75,1.63,207.0,1.0,0,1.002,
6,1483617600,Overcast,cloudy,0.0,0.0,54.75,54.75,53.49,0.96,1012.11,1.02,1.13,269.0,1.0,0,3.002,
7,1483621200,Overcast,cloudy,0.0,0.0,54.35,54.35,54.13,0.99,,0.37,1.39,,1.0,0,3.438,
8,1483624800,Overcast,cloudy,0.0,0.0,54.3,54.3,53.65,0.98,,0.82,1.19,2.0,1.0,0,2.439,
9,1483628400,Foggy,fog,0.0,0.0,56.35,56.35,55.49,0.97,1013.8,0.68,0.68,131.0,1.0,1,1.478,
10,1483632000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,60.17,60.17,56.08,0.86,,1.17,1.67,16.0,0.59,2,2.521,
11,1483635600,Partly Cloudy,partly-cloudy-day,0.0,0.0,64.44,64.44,56.33,0.75,,0.64,4.93,234.0,0.31,3,3.002,
12,1483639200,Partly Cloudy,partly-cloudy-day,0.0,0.0,68.72,68.72,56.21,0.64,1012.6,2.35,3.66,29.0,0.23,4,4.44,
13,1483642800,Partly Cloudy,partly-cloudy-day,0.0,0.0,72.09,72.09,57.71,0.61,,2.34,7.9,52.0,0.23,4,6.522,
14,1483646400,Clear,clear-day,0.0,0.0,74.66,74.66,57.71,0.56,,2.14,4.32,80.0,0.1,4,6.522,
15,1483650000,Clear,clear-day,0.0,0.0,76.62,76.62,58.26,0.53,1006.65,2.32,5.72,55.0,0.0,3,7.002,
16,1483653600,Clear,clear-day,0.0,0.0,77.51,77.51,57.78,0.51,,3.81,6.17,101.0,0.0,1,6.522,
17,1483657200,Clear,clear-day,0.0,0.0,75.78,75.78,58.11,0.54,,3.28,5.31,92.0,0.0,0,5.438,
18,1483660800,Clear,clear-day,0.0,0.0,71.81,71.81,59.77,0.66,1006.45,2.62,2.62,93.0,0.0,0,7.002,
19,1483664400,Clear,clear-night,0.0,0.0,69.0,69.0,58.65,0.7,,1.55,3.06,90.0,0.0,0,7.002,
20,1483668000,Clear,clear-night,0.0,0.0,66.05,66.05,57.31,0.73,,1.6,2.24,89.0,0.0,0,6.436,
21,1483671600,Clear,clear-night,0.0,0.0,64.03,64.09,59.19,0.84,1008.37,0.6,0.73,128.0,0.0,0,6.436,
22,1483675200,Clear,clear-night,0.0,0.0,61.83,61.83,57.96,0.87,,0.24,0.99,,0.0,0,6.436,
